"Player","School","Class","Birthdate","Years","Final Age","Position","Combine","Height","Weight","Hand","Arm","Forty","Bench","Vert","Broad","Cone","Shuttle"
"Braelon Allen","Wisconsin","2021","1/20/2004","3","20.0","RB","1","73.3","235","9.3","31.3",,"26","32.0","117",,
"Audric Estime","Notre Dame","2021","9/6/2003","3","20.3","RB","1","71.4","221","10.3","32.4","4.71","23","38.0","125",,
"Malik Nabers","Louisiana State","2021","7/28/2003","3","20.4","WR","1",,,,,,,,,,
"Jonathon Brooks","Texas","2021","7/21/2003","3","20.5","RB","1","72.4","216","9.3","31.5",,,,,,
"Keon Coleman","Florida State","2021","5/17/2003","3","20.6","WR","1","75.3","213","9.4","32.1","4.61",,"38.0","127",,
"Xavier Worthy","Texas","2021","4/27/2003","3","20.7","WR","1","71.3","165","8.8","31.1","4.21",,"41.0","131",,
"Jaylen Wright","Tennessee","2021","4/1/2003","3","20.8","RB","1","70.5","210","9.4","31.5","4.38",,"38.0","134",,
"Ja'Tavion Sanders","Texas","2021","3/27/2003","3","20.8","TE","1","75.9","245","10.1","32.9","4.69",,,,,"4.32"
"Troy Franklin","Oregon","2021","2/6/2003","3","20.9","WR","1","73.9","183","8.6","31.9","4.41",,"39.0","124","6.90","4.31"
"J.J. McCarthy","Michigan","2021","1/20/2003","3","21.0","QB","1","74.5","219","9.0","31.6",,,,,"6.82","4.23"
"Brock Bowers","Georgia","2021","12/13/2002","3","21.1","TE","1","75.1","243","9.8","32.8",,,,,,
"Caleb Williams","Southern California","2021","11/18/2002","3","21.1","QB","1","73.1","214","9.8","32.0",,,,,,
"Carson Steele","UCLA","2021","10/21/2002","3","21.2","RB","0",,,,,,,,,,
"Adonai Mitchell","Texas","2021","10/8/2002","3","21.2","WR","1","74.3","205","9.0","32.4","4.34",,"39.5","136",,
"Brian Thomas Jr.","Louisiana State","2021","10/8/2002","3","21.2","WR","1","74.9","209","9.8","32.8","4.33",,"38.5","126",,
"Arland Bruce IV","Oklahoma State","2021","9/26/2002","3","21.3","WR","0",,,,,,,,,,
"Drake Maye","North Carolina","2021","8/30/2002","3","21.4","QB","1","76.4","223","9.1","32.2",,,,,,
"Will Shipley","Clemson","2021","8/29/2002","3","21.4","RB","1","71.0","206","9.6","30.3",,,,,,
"Bucky Irving","Oregon","2021","8/19/2002","3","21.4","RB","1","69.0","192","9.5","29.5","4.55",,"29.5","115",,
"Marvin Harrison Jr.","Ohio State","2021","8/11/2002","3","21.4","WR","1","75.3","209","9.5","31.9",,,,,,
"Trey Benson","Florida State","2020","7/23/2002","4","21.5","RB","1","72.3","216","9.3","31.5","4.39",,"33.5","122",,
"Jase McClellan","Alabama","2020","6/25/2002","4","21.5","RB","1","70.4","221","10.3","31.1",,"20",,,,
"Ben Sinnott","Kansas State","2020","6/14/2002","4","21.6","TE","1","75.9","250","9.5","32.4","4.68",,"40.0","126","6.82","4.23"
"Rome Odunze","Washington","2020","6/3/2002","4","21.6","WR","1","74.9","212","9.3","32.3","4.45",,"39.0","124","6.88","4.03"
"AJ Barner","Michigan","2020","5/3/2002","4","21.7","TE","1","78.0","251","9.0","33.4",,,,,,
"Jaden Shirden","Monmouth","2020","5/2/2002","4","21.7","RB","1","68.0","187","9.3","28.8","4.45",,"34.5","117",,
"Ja'Lynn Polk","Washington","2020","4/11/2002","4","21.7","WR","1","73.4","203","9.8","31.8","4.52",,,"129",,
"Malachi Corley","Western Kentucky","2020","3/21/2002","4","21.8","WR","1",,,,,,,,,,
"Brenden Rice","Southern California","2020","3/18/2002","4","21.8","WR","1","74.4","208","9.6","33.0","4.50",,"36.5","119",,
"Frank Gore Jr.","Southern Mississippi","2020","3/13/2002","4","21.8","RB","1","67.6","201","8.3","29.6",,"12",,,,
"Isaiah Davis","South Dakota State","2020","2/21/2002","4","21.9","RB","1","72.3","218","10.3","31.1","4.57","23","34.5","119",,
"Javon Baker","Central Florida","2020","2/18/2002","4","21.9","WR","1","73.3","202","9.6","32.3","4.54",,"37.0","121",,
"Kendall Milton","Georgia","2020","2/10/2002","4","21.9","RB","1","73.5","225","9.6","31.8","4.62","18","35.5","124",,"4.38"
"Jabari Small","Tennessee","2020","1/31/2002","4","21.9","RB","0",,,,,,,,,,
"Ajou Ajou","Garden City CC","2020","1/10/2002","4","22.0","WR","0",,,,,,,,,,
"Marcus Rosemy-Jacksaint","Georgia","2020","1/8/2002","4","22.0","WR","1","74.0","195","10.0","33.0",,,"35.0","119",,
"Jalen McMillan","Washington","2020","12/7/2001","4","22.1","WR","1","73.0","197","10.0","32.1","4.47",,"37.0","127","6.94","4.18"
"Emani Bailey","Texas Christian","2020","11/28/2001","4","22.1","RB","1","67.4","202","9.8","29.9","4.61",,"33.5","116",,
"Ladd McConkey","Georgia","2020","11/11/2001","4","22.2","WR","1","71.6","186","8.6","30.3","4.39",,"36.0","124",,
"Jalen Coker","Holy Cross","2020","10/30/2001","4","22.2","WR","1","73.4","208","9.9","32.9","4.57",,"42.5","128",,
"Miyan Williams","Ohio State","2020","10/29/2001","4","22.2","RB","1","68.5","229","9.0","28.6",,,,,,
"Michael Pratt","Tulane","2020","9/30/2001","4","22.3","QB","1","74.5","217","9.3","30.8",,,"36.0","114","7.20","4.23"
"Tip Reiman","Illinois","2020","9/17/2001","4","22.3","TE","1","76.9","271","10.5","32.9","4.64","28","33.5","121","7.02","4.26"
"Kimani Vidal","Troy","2020","8/28/2001","4","22.4","RB","1","67.9","213","9.4","30.4","4.46","18","37.5","120","7.01","4.15"
"Trey Knox","South Carolina","2019","8/14/2001","5","22.4","TE","1","75.0","240","9.4","34.3",,,"32.5","121","7.09","4.54"
"Dillon Johnson","Washington","2020","7/15/2001","4","22.5","RB","1","71.6","217","9.4","30.0","4.68",,"31.5","117",,
"Jermaine Burton","Alabama","2020","6/28/2001","4","22.5","WR","1","72.3","196","9.9","31.0","4.45",,"38.5","133",,
"Devontez Walker","North Carolina","2020","6/19/2001","4","22.5","WR","1","73.5","193","9.1","33.3","4.36",,"40.5","134",,
